Year,SYSTEM_CODE,SPECIES_CODE,LOCATION,IMAGE_NAME,AGE,SEX,LENGTH,CSW1,CSW2,CSW3,CSW4,CSW5,CSW6,CSW7,CSW8,CSW9,CSW10,CSW11,CSW12,CSW13,CSW14
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F076,4,2,188,1.4408,1.768,0.8529,0.4965,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F077,4,2,183,1.767,1.5795,0.6473,0.4555,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F078,4,2,188,1.5705,1.8808,0.9566,0.6007,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F079,4,2,187,1.4217,1.0262,0.5047,0.4819,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F080,4,2,189,1.766,1.3151,0.5964,0.4698,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F081,4,2,191,1.8343,1.6335,0.8758,0.7176,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F082,4,2,204,2.013,2.0855,0.7723,0.3983,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F083,4,2,179,1.6564,1.5683,0.7788,0.4256,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F084,4,2,186,1.5695,1.4186,0.4029,0.5097,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F085,4,2,165,1.3074,1.6604,0.4621,0.4501,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1604F086,4,2,190,1.7249,2.0742,1.0328,0.4654,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F088,4,2,188,1.8359,1.837,0.9084,0.3855,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F089,4,2,184,1.4491,1.7654,0.8955,0.3269,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F090,4,2,194,1.9384,1.8104,0.6527,0.4454,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F091,4,2,185,1.7746,1.4287,0.623,0.3884,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F092,4,2,200,2.2034,1.6119,0.6276,0.4931,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F093,4,2,195,2.0028,1.6697,1.0621,0.7441,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F094,4,2,191,2.0585,1.2419,0.793,0.4603,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F095,4,2,190,2.0681,1.4526,0.8647,0.525,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F096,4,2,192,1.9987,1.5069,0.6675,0.3403,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1604F097,4,2,189,1.6742,1.7032,0.7947,0.5541,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F098,4,2,179,1.6825,1.4435,0.7747,0.337,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F099,4,2,193,1.6156,1.6454,1.1487,0.3153,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F100,4,2,197,1.7282,1.5965,1.0773,0.4103,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F101,4,2,182,1.6787,1.7983,0.81,0.3796,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F102,4,2,182,1.7966,1.777,0.6711,0.3654,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F103,4,2,189,1.936,1.84,0.8712,0.467,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F104,4,2,194,1.7721,1.823,0.731,0.4528,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1604F105,4,2,190,1.8096,1.7647,0.8556,0.4502,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F106,4,2,191,2.2357,1.325,0.8314,0.4203,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F107,4,2,199,2.0944,1.7369,0.9594,0.3208,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F108,4,2,165,1.4803,1.442,1.0751,0.7724,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F109,4,2,181,1.6813,1.4793,1.1898,0.642,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F110,4,2,193,1.7264,1.8489,1.0982,0.3776,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F111,4,2,194,1.9197,1.8285,1.0215,0.2853,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F112,4,2,196,2.2414,1.5036,0.9757,0.2742,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F113,4,2,187,2.1036,1.0618,0.7176,0.3872,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F114,4,2,182,1.6345,1.6331,0.8701,0.3862,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F115,4,2,188,1.9243,1.4528,0.749,0.4526,,,,,,,,,,
2016,SS,230,PROMSILA BAY,SS1604F116,4,2,197,2.3231,1.5471,0.8911,0.512,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F117,4,2,193,1.2678,1.2443,0.6735,0.3377,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F118,4,2,175,2.1723,1.5685,0.7294,0.3137,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F119,4,2,197,2.1492,1.7037,1.0119,0.506,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F120,4,2,190,1.6364,1.7448,0.8391,0.5397,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F121,4,2,174,1.6254,1.3495,0.7418,0.4503,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F122,4,2,183,1.7518,1.3909,1.0217,0.5355,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F123,4,2,193,2.0036,1.8377,0.982,0.386,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F124,4,2,182,1.9611,1.4167,0.8846,0.204,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F125,4,2,176,1.3753,1.0892,0.8118,0.5958,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F126,4,2,193,1.9518,1.8416,0.3905,0.3693,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F127,4,2,191,1.8832,1.541,0.9564,0.4693,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1604F128,4,2,176,1.3596,1.817,0.8379,0.4999,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F129,4,2,193,1.8565,1.5219,0.6782,0.5616,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F130,4,2,193,1.8924,1.485,,1.2727,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F131,4,2,185,1.8965,1.6747,0.7952,0.4837,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F132,4,2,186,1.8698,1.6635,0.6396,0.3313,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F133,4,2,185,1.2783,1.9094,0.6319,0.4818,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F138,4,2,190,1.3588,1.6826,0.9583,0.5777,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F139,4,2,172,1.5931,1.7248,0.723,0.4195,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F140,4,2,186,1.1995,2.027,0.7455,0.5109,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F141,4,2,191,2.1309,1.5842,1.0491,0.3001,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F142,4,2,181,1.7582,1.6405,1.0492,0.4288,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1604F143,4,2,183,1.6698,1.5084,1.2917,0.3304,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND NORTH,SS1604F144,4,2,188,1.695,1.4831,0.5774,0.567,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND NORTH,SS1604F145,4,2,184,1.8982,1.6727,0.8247,0.6582,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND NORTH,SS1604F146,4,2,194,1.5854,1.4218,0.5783,0.3702,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND NORTH,SS1604F147,4,2,177,1.518,1.6699,0.8108,0.455,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND NORTH,SS1604F148,4,2,188,1.8233,1.6608,0.5908,0.3505,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND NORTH,SS1604F149,4,2,192,1.7406,1.618,0.8744,0.4272,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND NORTH,SS1604F150,4,2,188,1.5755,1.3053,0.9478,0.3029,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F151,4,2,185,1.9249,1.4269,0.5596,0.523,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F152,4,2,190,1.853,1.416,0.7247,0.5929,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F153,4,2,186,1.7419,1.3613,0.692,0.4927,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F154,4,2,176,1.5042,1.2906,0.701,0.4492,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F155,4,2,178,1.6323,1.3778,1.0546,0.4093,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F157,4,2,186,1.619,1.7125,1.102,0.4178,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F158,4,2,184,1.6605,1.6523,0.9593,0.4256,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F159,4,2,186,1.8781,1.8897,0.6878,0.4332,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F160,4,2,172,1.3284,1.4719,0.9566,0.3502,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F161,4,2,185,1.6334,1.4579,0.7874,0.2413,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F162,4,2,186,1.44,1.5005,0.7532,0.5076,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F163,4,2,189,1.8012,1.6929,0.7887,0.3351,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1604F164,4,2,183,1.8734,1.1072,0.7462,0.3945,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F165,4,2,194,1.7991,1.8429,0.9806,0.3285,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F166,4,2,201,1.6677,1.5254,1.0351,0.4436,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F167,4,2,192,2.2621,1.4156,0.7632,0.5051,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F168,4,2,184,1.7832,1.893,0.6958,0.4123,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F169,4,2,184,1.7307,1.7131,0.9888,0.4144,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F170,4,2,184,1.6799,1.5995,0.8531,0.454,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F171,4,2,181,1.7291,1.8046,0.8077,0.2617,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F172,4,2,196,1.9608,1.7213,0.9128,0.5452,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F173,4,2,193,1.98,1.7878,0.6987,0.4826,,,,,,,,,,
2016,SS,230,SALISBURY SOUND EAST,SS1604F174,4,2,189,1.4889,1.7054,0.3482,0.4709,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F175,4,2,189,1.6176,1.4816,0.6947,0.3445,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F176,4,2,188,1.888,1.5633,0.9223,0.3418,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F177,4,2,188,1.6975,1.2046,1.0546,0.4697,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F178,4,2,193,1.6594,1.5344,0.8494,0.6767,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F179,4,2,192,2.0257,1.5201,0.8529,0.2184,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F180,4,2,201,1.8559,2.0661,0.8653,0.3445,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F181,4,2,186,2.1413,1.399,0.9551,0.3934,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F182,4,2,188,1.8332,1.6357,0.8555,0.3458,,,,,,,,,,
2016,SS,230,SIGINAKA ISLANDS,SS1604F183,4,2,186,2.2728,1.829,0.7491,0.4273,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F188,4,2,179,1.7396,1.4719,1.0293,0.5028,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F189,4,2,186,1.9953,1.7455,0.5243,0.4263,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F190,4,2,183,1.5968,1.3987,0.8716,0.5704,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F191,4,2,164,1.751,1.245,0.5667,0.551,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F192,4,2,183,1.3621,1.8594,0.8215,0.6414,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F193,4,2,206,1.7973,2.0666,0.8805,0.5964,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F194,4,2,192,1.3072,1.7936,1.0489,0.4282,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F195,4,2,187,2.099,1.6823,0.8711,0.4124,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F196,4,2,180,1.7885,1.6188,0.7314,0.3743,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F197,4,2,195,1.8962,2.102,0.9377,0.4716,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F198,4,2,177,1.5708,1.3638,0.7563,0.4592,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1604F199,4,2,189,1.908,1.6181,0.9615,0.3413,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F200,4,2,180,1.4102,1.7392,0.7783,0.4743,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F201,4,2,192,1.5811,1.7654,0.7224,0.5287,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F202,4,2,174,1.7369,1.5928,0.7992,0.5039,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F203,4,2,193,1.5231,1.9931,0.8733,0.5149,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F204,4,2,200,2.1035,1.8863,0.9649,0.476,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F205,4,2,191,1.8906,1.5305,0.8191,0.6328,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F206,4,2,188,2.0765,1.6825,0.7197,0.4609,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F207,4,2,189,1.7996,1.9466,1.1324,0.4599,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F208,4,2,177,1.8889,1.2237,0.5176,0.2842,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F209,4,2,180,1.6453,1.255,0.7708,0.3886,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F210,4,2,188,1.7948,1.5807,0.743,0.3367,,,,,,,,,,
2016,SS,230,SAINT JOHN BAPTIST BAY,SS1604F211,4,2,174,1.4301,1.5896,0.765,0.5299,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F212,4,2,196,1.7372,1.3244,0.9949,0.2748,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604M001,4,1,183,1.6869,2.0831,0.7814,0.4079,,,,,,,,,,
